alpha_3,country,population2020,yearly_change,net_change,density,land_area,migrants,fertility_rate,med_age,urban,world_share,region
AJY,gwkmqjpfja,2503,6748,1443,2300,4841,3902,9344,1685,3506,3818,3292
AJZ,nwpchghxew,9023,1125,6957,895,5439,2968,3641,6700,9989,7466,8782
AKA,oimimstcme,1592,778,4925,5235,2631,7738,9527,1008,4108,3815,6297
AKB,tgcaqleqme,7892,9017,3046,2598,5361,8526,7856,8559,1883,8934,4074
AKC,ozpwmtanux,8753,284,2994,9079,5896,8166,706,9316,5048,2101,8020
AKD,odgclpqece,4547,2163,2975,4710,1014,2340,4358,1065,2265,3182,4662
AKE,gekqubwkio,4581,2991,9709,106,233,8321,3559,2546,6040,5804,6945
AKF,shqgrdirwn,4933,9490,9095,5548,2713,5473,684,3466,4091,1871,7607
AKG,vihsgsaaue,7080,1681,6472,9047,5935,1403,5128,8573,9477,2162,8612
AKH,qhxkhvpkvy,5385,5232,8156,1044,1941,9098,4053,9602,6691,6189,708
AKI,btuxjlwegi,2092,656,6376,8151,8346,7330,4047,6454,5261,5051,7351
AKJ,zfzovgxovm,1739,8809,515,7846,8438,9539,5644,7141,9755,1408,5564
AKK,dztfikemfm,2783,4355,7612,8835,7649,1574,8800,3015,3551,904,1556
AKL,ycvvjydtet,3940,8993,138,8890,2025,9536,2322,7714,8642,9363,5885
AKM,tuwstfoxnh,6835,7982,2684,5634,6706,6301,1641,5276,9633,5738,4181
AKN,fablawlqyc,8645,2461,4297,7909,1202,5072,7133,3072,6609,3126,2981
AKO,inzvgnoamd,7297,2194,275,7799,6605,2371,2918,9278,324,6409,2542
AKP,letutyhmqb,9846,4294,5815,7666,7783,4935,607,6803,250,4256,3743
AKQ,vhgcabyebt,2974,2889,4440,4233,5511,1292,5447,5648,9755,4795,7582
AKR,ylpzpxvfmm,2717,6534,9287,2241,6682,3498,228,4272,3010,5169,7729
AKS,odicqdmnbi,3098,270,7005,2242,898,8868,9714,5649,9840,3493,5947
AKT,hmatlfisvb,6674,3112,2387,3486,7124,4344,8504,5224,2845,376,3157
AKU,mwukeryjal,8585,4610,8799,2528,5083,2976,6419,8309,1550,1368,6486
AKV,sijstgqbpt,866,2515,5227,268,1416,9058,5165,3089,6800,378,9964
AKW,yknunqsqhj,3583,519,8333,4965,7198,1415,359,614,9294,4669,5878
AKX,gvecwyqiqn,1318,2348,7300,5504,2278,5083,2441,4714,2176,9090,6857
AKY,tepwissalb,1893,714,3420,7313,1552,9903,5499,466,3017,9589,6402
AKZ,euuxpjerbq,6656,2304,3997,7415,1879,426,3792,6310,1772,1423,723
ALA,ekakoxfudn,5796,94,6414,528,4951,6663,1543,7331,3863,6454,6928
ALB,acsmnxumod,5216,960,553,8718,5992,3208,6409,7941,4682,8375,7370
ALC,lpowalgqen,5934,2189,5527,5929,2611,5052,8672,6729,1104,3698,5336
ALD,bszjmkxfix,3080,7196,5353,2311,6056,5231,1647,3373,4160,9413,1263
ALE,pntjgzabku,8185,2219,7866,8773,8565,9412,3791,9336,1893,180,8844
ALF,ditheqqmtr,5234,2543,5457,4909,1310,8451,2885,5182,9564,9013,9781
ALG,swonqrjtqb,9146,5668,1958,9801,151,5226,7404,1627,4037,9635,6266
ALH,jhifgeovea,4967,7059,6355,99,6376,1504,1293,5347,502,2868,342
ALI,ogrphzspzg,4528,693,1641,7756,8016,9726,7840,7298,8733,4813,2127
ALJ,pdptniinjp,3710,8118,4287,7276,1091,7315,7020,2499,9295,9942,2080
ALK,lxvtftmeif,1460,9554,5948,331,8992,7552,8340,7610,490,8416,9247
ALL,nqxojjjnfp,9180,4553,3409,2677,2973,9603,4493,6833,9766,1208,7385
ALM,zsjlxmwgbr,1891,7368,8418,26,1063,4881,2270,1436,8572,8579,2715
ALN,ucdutngdjm,2000,5356,6674,7748,6326,9633,18,6271,9236,32,3915
ALO,gqvcsjojch,2072,1297,4417,4349,9367,8709,8689,9179,9918,8783,711
ALP,ehuexjlqik,418,1756,4568,5066,5788,1531,283,7882,7234,9225,2105
ALQ,rrwdvgpiaj,3250,9145,5482,8611,6122,4659,8792,2854,3631,2153,1472
ALR,atuiwssvlz,6058,9652,4608,4918,9795,8656,6881,4610,3270,4808,2771
ALS,hstyjobtbr,4193,2561,9813,6756,7119,8406,2272,1478,3315,6443,1691
ALT,ecbezdgppd,2489,8432,8183,8885,368,5846,4422,6116,6252,5331,1778
ALU,bkimuxusbf,7634,5621,4028,9504,5256,5104,8749,6346,5714,1752,6028
ALV,dafstkunll,940,6898,9847,9904,3428,447,8125,7178,3817,1991,7969
